*******************************************************************************
 Revised: April 12, 2021             Mercury                            199 / 1

 PHYSICAL DATA (updated 2021-Apr-12):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.86855     Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =                 Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Jan 13 05:07:30 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 08:16:23.3440 TDB
Stop  time      : A.D. 2022-Feb-12 00:00:00.0000 TDB
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of B1950.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458342.844714629, A.D. 2018-Aug-12 08:16:23.3440,  4.980919842214211E+07, -3.180938573822045E+07, -7.150937870990148E+06,  1.668089478695546E+01,  4.340852441122172E+01,  2.076687358524389E+00,  1.985737394978565E+02,  5.953090945831407E+07, -9.487285956800894E+00,
2458343.094714629, A.D. 2018-Aug-12 14:16:23.3440,  5.016215370407841E+07, -3.086712383481707E+07, -7.105030663242841E+06,  1.599816588026224E+01,  4.383654329958756E+01,  2.174043863050992E+00,  1.978882161235179E+02,  5.932539472090463E+07, -9.541482288029062E+00,
2458343.344714629, A.D. 2018-Aug-12 20:16:23.3440,  5.050023335394618E+07, -2.991570886878143E+07, -7.057016498796610E+06,  1.530351573204436E+01,  4.425597842621340E+01,  2.271772177203671E+00,  1.971988695397924E+02,  5.911873381415568E+07, -9.593402088355916E+00,
2458343.594714629, A.D. 2018-Aug-13 02:16:23.3440,  5.082317952228326E+07, -2.895532963482179E+07, -7.006887594761975E+06,  1.459691280091246E+01,  4.466651493854853E+01,  2.369849121121636E+00,  1.965058660912670E+02,  5.891097660691979E+07, -9.642980698337180E+00,
2458343.844714629, A.D. 2018-Aug-13 08:16:23.3440,  5.113073373981646E+07, -2.798618181853345E+07, -6.954636681963677E+06,  1.387833130813415E+01,  4.506782962797663E+01,  2.468250300871652E+00,  1.958093768320101E+02,  5.870217437991656E+07, -9.690152049008224E+00,
2458344.094714629, A.D. 2018-Aug-13 14:16:23.3440,  5.142263704652646E+07, -2.700846817789190E+07, -6.900257031664180E+06,  1.314775166599322E+01,  4.545959083888455E+01,  2.566950062055611E+00,  1.951095776270867E+02,  5.849237985616610E+07, -9.734848663528444E+00,
2458344.344714629, A.D. 2018-Aug-13 20:16:23.3440,  5.169863013017566E+07, -2.602239872658505E+07, -6.843742483298030E+06,  1.240516092570586E+01,  4.584145838952194E+01,  2.665921442618473E+00,  1.944066492538387E+02,  5.828164723135217E+07, -9.777001662100858E+00,
2458344.594714629, A.D. 2018-Aug-14 02:16:23.3440,  5.195845347472585E+07, -2.502819091891559E+07, -6.785087473233486E+06,  1.165055324529191E+01,  4.621308350599840E+01,  2.765136124932056E+00,  1.937007775026852E+02,  5.807003220404109E+07, -9.816540770456017E+00,
